Name,Artist,Album,Genre,Length,Path,UID
Frost,Homestuck,Homestuck Vol. 6: Heir Transparent,Unknown,5:5,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 6_ Heir Transparent\01 Frost.mp3,0
Courser,Homestuck,Homestuck Vol. 6: Heir Transparent,Unknown,4:36,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 6_ Heir Transparent\02 Courser.mp3,1
MeGaLoVania,Homestuck,Homestuck Vol. 6: Heir Transparent,Unknown,2:48,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 6_ Heir Transparent\07 MeGaLoVania.mp3,2
Gaia Queen,Homestuck,Homestuck Vol. 6: Heir Transparent,Unknown,3:6,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 6_ Heir Transparent\09 Gaia Queen.mp3,3
A Tender Moment,Homestuck,Homestuck Vol. 6: Heir Transparent,Unknown,2:17,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 6_ Heir Transparent\20 A Tender Moment.mp3,4
Black Rose / Green Sun,Homestuck,Homestuck Vol. 7: At the Price of Oblivion,Unknown,3:18,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 7_ At the Price of Oblivi\01 Black Rose _ Green Sun.mp3,0
Sburban Reversal,Homestuck,Homestuck Vol. 7: At the Price of Oblivion,Unknown,3:51,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 7_ At the Price of Oblivi\19 Sburban Reversal.mp3,1
The Lost Child,Homestuck,Homestuck Vol. 8,Unknown,2:54,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 8\27 The Lost Child.mp3,0
Black Hole / Green Sun,Homestuck,Homestuck Vol. 8,Unknown,2:30,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 8\40 Black Hole _ Green Sun.mp3,1
Heir Conditioning,Homestuck,Strife!,Unknown,3:53,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Strife!\02 Heir Conditioning.mp3,0
Collide,Howie Day,Stop All The World Now,Rock/Pop,4:9,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Howie Day\Stop All The World Now\03 Collide.mp3,0
My Darlin' Hometown,John Prine,Fair & Square,Folk,3:14,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\John Prine\Fair & Square\06 My Darlin' Hometown.mp3,0
Hello In There,John Prine,Great Days Anthology,Folk,4:32,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\John Prine\Great Days Anthology\1-03 Hello In There.mp3,0
Don't Take Your Guns To Town,Johnny Cash,Johnny Cash - Giant Hits,Country,3:5,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Johnny Cash\Johnny Cash - Giant Hits\01 Don't Take Your Guns To Town.mp3,0
The Kneeling Drunkard's Plea,Johnny Cash,"Love, God, Murder",Country,2:32,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Johnny Cash\Love, God, Murder\2-11 The Kneeling Drunkard's Plea.mp3",0
Player One,Machinae Supremacy,Deus Ex Machinae,SID Metal,5:43,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Machinae Supremacy\Deus Ex Machinae\06 Player One.mp3,0
27 Shop Music,Machinae Supremacy,Jets'n'Guns,Unknown,3:20,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Machinae Supremacy\Jets'n'Guns\27 Shop Music.mp3,0
I Know the Reaper,Machinae Supremacy,Redeemer (Underground Edition),Metal,4:36,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Machinae Supremacy\Redeemer (Underground Edition)\07 I Know the Reaper.mp3,0
Lullaby for the New World Order,Matthew Good,Avalanche,Alternative,3:52,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good\Avalanche\02 Lullaby for the New World Order.mp3,0
Hello Time Bomb,Matthew Good,Deluxe Version (Cd One),Pop,3:56,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good\Deluxe Version (Cd One)\06 Hello Time Bomb.mp3,0
I'm a Window,Matthew Good,Hospital Music,Rock,3:35,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good\Hospital Music\13 I'm a Window.mp3,0
Lights Of Endangered Species,Matthew Good,Lights of Endangered Species,Rock,4:22,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good\Lights of Endangered Species\09 Lights Of Endangered Species.mp3,0
Hello Time Bomb,Matthew Good Band,Beautiful Midnight,Rock,3:58,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good Band\Beautiful Midnight\02 Hello Time Bomb.mp3,0
Symbolistic White Walls,Matthew Good Band,Last of the Ghetto Astronauts,Alternative,4:30,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good Band\Last of the Ghetto Astronauts\02 Symbolistic White Walls.mp3,0
Truffle Pigs,Matthew Good Band,The Audio of Being,Alt. Rock,4:46,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Matthew Good Band\The Audio of Being\06 Truffle Pigs.mp3,0
Beat It,Micheal Jackson,1980's Music,Other,4:18,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Micheal Jackson\1980's Music\Beat It.mp3,0
What I Don't Believe,"Minus 5, The",Down With Wilco,Country,2:29,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Minus 5, The\Down With Wilco\10 What I Don't Believe.mp3",0
Porcelain,Moby,Play,Electronica/Dance,4:1,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Moby\Play\03 Porcelain.mp3,0
Bodyrock,Moby,Play,Electronica/Dance,3:36,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Moby\Play\07 Bodyrock.mp3,1
Find My Baby,Moby,Play (M),Electronica/Dance,3:59,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Moby\Play (M)\02 Find My Baby.mp3,0
One Of These Mornings,Moby Featuring Patti LaBelle,18,Electronic,3:12,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Moby Featuring Patti LaBelle\18\06 One Of These Mornings.mp3,0
Sunday (The Day Before My Birthday),Moby Featuring Sylvia Robinson,18,Electronic,5:9,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Moby Featuring Sylvia Robinson\18\11 Sunday (The Day Before My Birthda.mp3,0
Holland Road,Mumford & Sons,Babel,Folk Rock,4:13,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Mumford & Sons\Babel\04 Holland Road.mp3,0
Old Man,Neil Young,Harvest,Rock,3:24,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Neil Young\Harvest\06 Old Man.mp3,0
Slip Slidin' Away,Paul Simon,Negotiations and Love Songs  1,Rock,4:44,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Paul Simon\Negotiations and Love Songs  1\11 Slip Slidin' Away.mp3,0
